"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,   "Avg CFL[0]"   ,      "CD[0]"     ,      "CL[0]"     
          18,-0.765064704565121,  1.98045704755885,   1.8655249984279,  4.94888937697094,   30.550651510766, 0.320665259950845, -1.22884595910737
          19,  -0.7837859745338,  1.95772025387357,  1.84446890252766,  4.92702331635639,  33.5988013417998, 0.323008504358167, -1.22250029271069
          20,-0.800605401534388,  1.93564025820267,   1.8258291434226,   4.9069227066724,  36.9478210000888, 0.326200841480742, -1.21598188268911
          21,-0.815942771459955,  1.91390367269754,  1.80838327939624,  4.88826017520528,  40.6265473702056, 0.330173683922665, -1.20980912379303
          22,-0.828249354596971,   1.8943446637804,  1.79424125882753,  4.87266671022335,  44.6676585984484, 0.334776144968828, -1.20476728886797
          23,-0.843201857719856,  1.87461862276055,  1.77682018893337,  4.85376429110573,  49.1047720602989, 0.339834138541277, -1.20202366425016
          24,-0.853122996662226,  1.85512490607857,  1.76625682841635,  4.84291299720622,  53.9749348363807, 0.345187137543329, -1.20309370218844
          25,-0.860740508812689,  1.84127807181285,  1.75742736711462,  4.83213809620366,  59.3180876442045, 0.350696037930202, -1.20956719424655
          26,-0.852686557068334,  1.83681236772198,  1.77499156463622,  4.84954992492299,  65.1782734571646, 0.356234276538402, -1.22260087810061
          27,-0.859131467471608,  1.82742951263633,   1.7651914863236,  4.83855068221876,    71.60111233119, 0.361674515089184, -1.24240206490505
          28,-0.856473523388678,  1.82625348665891,   1.7748705746415,  4.84609225988627,  78.6587998083563, 0.366873019619831, -1.26802536619813
          29, -0.83458108791428,  1.84252691721095,  1.79584223606807,  4.87594705664027,  86.4165147491864,  0.37167069185085, -1.29771393788546
          30, -0.80560032433409,  1.87547033011132,  1.83399872692043,  4.91532288103321,  94.9481316489461, 0.375912737078078,  -1.3295206340419
          31,-0.791870405719132,  1.90347373123147,  1.84045736293288,  4.92831492907065,  85.4533184840559, 0.379468871003934, -1.36187435604365
          32,-0.711273882672986,  1.99819657314127,  1.92551250214461,  5.01983084712337,  76.9079866356477, 0.381901472091039, -1.38819982750927
          33,-0.487773341802191,  2.19538563240833,  2.12559497012833,  5.24652161407608,  69.2171879720799, 0.383553983921292,   -1.409877933434
          34,-0.284004690939088,  2.40845506131105,  2.36692865575828,   5.4649581786021,  76.0930709517135, 0.384712324835204, -1.42778108457591
          35,-0.350743262676823,  2.32116691205645,  2.22742519377376,  5.38985039517679,  83.6582998433608, 0.385614973213898, -1.44566200511292
          36, -0.43260499399649,  2.21235899005656,  2.16004473891011,   5.3101960664296,   91.980982125737,  0.38628593577231, -1.46338058140493
          37,-0.406194026658596,  2.24167266549246,  2.21875468382241,  5.34106730250694,  101.140910130432, 0.386749120008074, -1.48078431613667
          38,-0.590745002794416,  2.06633410377795,  2.04962685374052,  5.15823450028511,   111.17102403249, 0.387042198285187, -1.49764513796011
          39,-0.168112558090225,  2.63855614142556,  2.58022242088122,  5.56907397850035,  122.263716622785, 0.387209918518311, -1.51359279868855
          40,-0.385202010012601,  2.35256768611757,  2.37385868079132,  5.35291021824081,    134.4746455964, 0.387295781422812, -1.52808686271175
          41,-0.631773405392713,  2.04268127606818,  2.12776944850447,  5.11032786782245,  147.911168993231, 0.387334552255977,  -1.5405344552448
          42,-0.665351903259474,  1.94159980406854,  1.93417460615776,  5.07659081692923,  162.694447198275, 0.387349808573741, -1.55048754671367
          43,-0.778003414356793,   1.8473081467182,  1.71724378232298,  4.96147946102752,  178.963153172642,  0.38735494142978, -1.55780535959754
          44,  -1.1965265424951,   1.4300489832892,  1.33552822268761,  4.54023391303366,  196.859468489911, 0.387356382589029, -1.56269762017095
          45, -1.57907441153218, 0.984019881610742,  1.02506930539728,  4.15395268562708,    216.5454153389, 0.387356701032672, -1.56563993325611
          46, -1.81365996956826, 0.695105703948024, 0.716333514511004,  3.92706888565456,  238.199956872788, 0.387356747962783, -1.56721672091847
          47, -2.09605844863099, 0.328090262313458, 0.361594779268692,  3.65320220751479,  262.019952560076, 0.387356748056028, -1.56796386490908
          48, -2.35279703540013, -0.19843777878008,-0.368111887533933,  3.41338586225101,  288.221947816085, 0.387356745309818, -1.56827511466477
          49, -2.77038487430878,-0.652746591839098,-0.658443939775763,   2.9982164059567,  317.044142597692, 0.387356744195268, -1.56838874903259
          50, -3.76084458046582, -1.22770367298128, -1.37601562741872,  1.96772151857803,  348.748556857455, 0.387356743897178, -1.56842500423158
          51, -4.50370371632007, -1.98392422735493, -2.24470646567391, 0.986595954292646,  383.623412543195,  0.38735674383494, -1.56843509376531
          52, -4.97405971970253, -2.46759574045852, -2.73479618069477, 0.506809562531265,  421.985753797531, 0.387356743824299, -1.56843753733767
          53,  -5.4946732917672, -2.99754730350536, -3.26697872823706,-0.0210893534213473,  464.184329177266, 0.387356743822783, -1.56843805095025
          54, -6.07023097535836, -3.58407959152875, -3.85533171791526,-0.604090423256694,  510.602762095009, 0.387356743822603, -1.56843814430821
          55, -6.70101413354565, -4.22650053558345, -4.49954495476551, -1.24175500837522,  561.663038304488, 0.387356743822585, -1.56843815891274
          56, -7.38702537601651, -4.92290341232718, -5.19853864413972,  -1.9331953798001,  617.829342134938, 0.387356743822584,  -1.5684381608656
          57, -8.12875365906799, -5.67283560430086, -5.95219833450278,  -2.6786810383599,   679.61227634847, 0.387356743822584, -1.56843816108641
          58, -8.92704922406777, -6.47727132626054, -6.76129668443753, -3.47936801026758,  747.573503983285, 0.387356743822584, -1.56843816110711
          59, -9.78280341773992,  -7.3376222997014, -7.62681162547884, -4.33655689465389,  822.330854381636, 0.387356743822584, -1.56843816110866
          60, -10.6968035538598, -8.25515271649988, -8.54957264678689, -5.25133728780575,  904.563939819802, 0.387356743822584, -1.56843816110874
          61, -11.6697154095349, -9.23082338644628, -9.53022577765862, -6.22452965290532,  995.020333801788, 0.387356743822584, -1.56843816110874
          62, -12.7016064321469, -10.2580807442237, -10.5679915421399, -7.25346627823708,  1094.52236718192, 0.387356743822584, -1.56843816110874
          63, -13.7163003399817, -10.9530857328321, -11.4971543484865, -8.06987980296651,  1094.52236718192, 0.387356743822584, -1.56843816110874
